ruleId,cropId,issueType,issueName,growthStages,dayMin,dayMax,tempMinC,tempMaxC,humidityMinPct,rain3dMinMm,rain7dMinMm,riskBoost,symptoms,prevention,treatment,preventionCostBdtPerAcre,treatmentCostBdtPerAcre,source_name,source_url,source_doc,page,retrieved_date,data_origin,verification_status
rice_blast_humid,rice_t_aman,disease,Blast,seedling|tillering|booting|flowering,0,120,16,30,90,0,5,28,"diamond or spindle-shaped leaf spots; neck blast can empty panicles","Avoid excess nitrogen, keep field sanitation, scout seedbed and tillering fields after cloudy humid nights","If symptoms appear, consult DAE/SAAO and apply registered triazole/strobilurin fungicide at label dose; avoid repeated same chemistry",320,1250,BAMIS/DAE,https://www.bamis.gov.bd/en/diseases/1/all/76/,Diseases Information - Rice,Blast,2026-07-24,manual,cross_checked
rice_bacterial_blight_rain,rice_t_aman,disease,Bacterial blight,seedling|tillering|booting|flowering,10,120,28,32,80,20,30,26,"yellowing and drying from leaf tips or margins; kresek in young plants","Use balanced fertilizer, avoid excess nitrogen, keep water movement controlled, remove heavily infected seedlings","No curative fungicide; drain excess water, avoid top-dressing nitrogen, consult DAE for copper/antibiotic local guidance where permitted",220,900,BAMIS/DAE,https://www.bamis.gov.bd/en/diseases/1/all/76/,Diseases Information - Rice,Bacterial blight,2026-07-24,manual,cross_checked
rice_sheath_blight_humid,rice_t_aman,disease,Sheath blight,tillering|booting|flowering|grain_fill,35,125,28,32,85,5,15,24,"oval grey-green lesions on sheath; lodging risk in dense crop","Keep balanced plant spacing, avoid excess nitrogen, remove weeds on bunds, monitor dense humid canopy","If lesions spread upward, consult DAE/SAAO and apply registered sheath blight fungicide at label dose",280,1150,BAMIS/DAE,https://www.bamis.gov.bd/en/diseases/1/all/76/,Diseases Information - Rice,Sheath blight,2026-07-24,manual,cross_checked
rice_bph_humid_canopy,rice_t_aman,pest,Brown planthopper,tillering|booting|flowering|grain_fill,25,125,25,34,80,0,10,18,"brown hopper insects at plant base; yellowing and hopperburn patches","Avoid early broad-spectrum insecticide, avoid excess nitrogen, keep water level manageable, inspect plant base twice weekly","If threshold is crossed, drain field briefly and use a registered planthopper insecticide only after local extension advice",260,1050,BRRI Rice Knowledge Bank,https://knowledgebank-brri.org/rice-insect-and-pest-control-management/,Rice Insect and Pest Control Management,Brown planthopper,2026-07-24,manual,cross_checked
rice_blast_boro_humid,rice_boro,disease,Blast,seedling|tillering|booting|flowering,0,125,16,30,90,0,5,28,"diamond or spindle-shaped leaf spots; neck blast can empty panicles","Avoid excess nitrogen, keep field sanitation, scout seedbed and tillering fields after cloudy humid nights","If symptoms appear, consult DAE/SAAO and apply registered triazole/strobilurin fungicide at label dose; avoid repeated same chemistry",320,1250,BAMIS/DAE,https://www.bamis.gov.bd/en/diseases/1/all/76/,Diseases Information - Rice,Blast,2026-07-24,manual,cross_checked
rice_bacterial_blight_boro_rain,rice_boro,disease,Bacterial blight,seedling|tillering|booting|flowering,10,130,28,32,80,20,30,26,"yellowing and drying from leaf tips or margins; kresek in young plants","Use balanced fertilizer, avoid excess nitrogen, keep water movement controlled, remove heavily infected seedlings","No curative fungicide; drain excess water, avoid top-dressing nitrogen, consult DAE for copper/antibiotic local guidance where permitted",220,900,BAMIS/DAE,https://www.bamis.gov.bd/en/diseases/1/all/76/,Diseases Information - Rice,Bacterial blight,2026-07-24,manual,cross_checked
potato_late_blight_cool_wet,potato,disease,Late blight,vegetative|tuber_initiation|bulking,20,85,10,24,85,3,10,35,"water-soaked leaf spots that turn dark; white fungal growth under leaf in humid mornings","Ensure drainage, avoid overhead irrigation, remove infected leaves, scout during foggy cloudy weather from November to February","If risk or symptoms appear, consult DAE/SAAO and spray registered late blight fungicide at label dose; repeat interval depends on infection pressure",420,1500,DAE/BSS,https://b.bssnews.net/news/347068,DAE late blight warning,Potato late blight,2026-07-24,manual,cross_checked
tomato_late_blight_wet,tomato,disease,Late blight,vegetative|flowering|fruiting,20,95,12,26,85,3,12,30,"water-soaked lesions on leaves/stems; fruit rot in cool wet weather","Stake and prune for airflow, avoid overhead irrigation, remove infected debris, scout after cloudy wet spells","If symptoms appear, consult DAE/SAAO and apply registered protectant/systemic fungicide at label dose with rotation",450,1650,BARI/DAE,https://bari.gov.bd,Tomato Production Guide,TODO,2026-07-24,manual,unverified
tomato_early_blight_warm_humid,tomato,disease,Early blight,vegetative|flowering|fruiting,25,100,24,32,75,0,8,20,"brown target-like spots on older leaves; defoliation under stress","Use mulch, rotate with non-solanaceous crop, avoid plant stress, remove lower infected leaves","If spots expand, consult DAE/SAAO and apply registered fungicide at label dose; rotate chemistry",360,1350,BARI/DAE,https://bari.gov.bd,Tomato Production Guide,TODO,2026-07-24,manual,unverified
tomato_bacterial_wilt_warm_wet,tomato,disease,Bacterial wilt,vegetative|flowering|fruiting,15,90,26,34,80,10,25,22,"sudden wilt while leaves stay green; brown vascular discoloration","Use raised beds, avoid waterlogging, remove infected plants, rotate with non-host crop","No reliable cure after infection; remove plants and sanitize tools; consult extension before replanting",300,800,BARI/DAE,https://bari.gov.bd,Tomato Production Guide,TODO,2026-07-24,manual,unverified
